AAPL
ABT
ACN
ADBE
AEE
AEP
AMZN
BA
BAC
BK
BRK-A
BRK-B
C
CF
CIZN
CMCSA
CMS
CPB
CSCO
CVR
CVS
D
ED
F
GE
GILD
GM
GO
GOOG
GRMN
IBM
INFY
JPM
KO
LMT
MNSO
MON
MS
MSFT
NAC
NOC
PG
PM
PSCM
QRMI
REGN
ROP
SEB
SO
T
TD.TO
TSN
TXN
UNH
UPS
VMW
VZ
